seq_number,step_number,small_relevant,small_random,big_random,big_relevant,label
0:0,0:0:0,3,0,8,4,0
0:0,0:0:0,4,3,8,4,0
0:0,0:0:0,4,4,7,6,0
0:0,0:0:0,4,2,7,9,0
0:0,0:0:0,4,4,8,8,0
0:0,0:0:0,6,2,7,10,0
0:0,0:0:0,6,6,8,9,0
0:0,0:0:0,7,2,8,9,0
0:0,0:0:0,9,4,8,11,0
0:0,0:0:0,11,0,7,9,0
0:0,0:0:1,4,5,7,5,0
0:0,0:0:1,5,6,8,3,0
0:0,0:0:1,5,5,7,4,0
0:0,0:0:1,5,1,7,10,0
0:0,0:0:1,8,0,7,7,0
0:0,0:0:1,9,0,8,10,0
0:0,0:0:1,9,5,7,11,0
0:0,0:0:1,10,6,7,14,0
0:0,0:0:1,11,3,7,13,0
0:0,0:0:1,13,2,7,12,0
0:0,0:0:2,3,1,7,2,0
0:0,0:0:2,5,3,7,3,0
0:0,0:0:2,5,1,7,10,0
0:0,0:0:2,5,5,8,11,0
0:0,0:0:2,8,4,7,12,0
0:0,0:0:2,8,5,8,11,0
0:0,0:0:2,10,3,8,13,0
0:0,0:0:2,11,0,8,13,0
0:0,0:0:2,10,3,8,16,0
0:0,0:0:2,12,1,7,16,0
0:0,0:0:3,5,0,7,5,0
0:0,0:0:3,5,2,8,10,0
0:0,0:0:3,5,0,7,11,0
0:0,0:0:3,7,0,7,6,0
0:0,0:0:3,7,5,7,11,0
0:0,0:0:3,8,3,7,10,0
0:0,0:0:3,9,0,7,10,0
0:0,0:0:3,11,5,7,13,0
0:0,0:0:3,12,5,7,16,0
0:0,0:0:3,12,4,8,16,0
0:0,0:0:4,4,6,8,4,0
0:0,0:0:4,6,0,8,7,0
0:0,0:0:4,9,1,7,10,0
0:0,0:0:4,10,0,7,12,0
0:0,0:0:4,11,1,8,10,0
0:0,0:0:4,12,6,7,14,0
0:0,0:0:4,11,6,7,16,0
0:0,0:0:4,12,6,7,13,0
0:0,0:0:4,14,0,8,17,0
0:0,0:0:4,14,0,8,18,0
0:0,0:0:5,8,4,8,10,0
0:0,0:0:5,8,3,8,7,0
0:0,0:0:5,7,3,7,9,0
0:0,0:0:5,8,4,8,9,0
0:0,0:0:5,10,6,8,11,0
0:0,0:0:5,12,5,8,14,0
0:0,0:0:5,12,5,8,14,0
0:0,0:0:5,15,6,7,12,0
0:0,0:0:5,14,5,8,14,0
0:0,0:0:5,15,1,8,17,0
0:0,0:0:6,9,0,8,12,0
0:0,0:0:6,10,6,7,8,0
0:0,0:0:6,11,0,8,13,0
0:0,0:0:6,10,3,8,13,0
0:0,0:0:6,10,0,8,12,0
0:0,0:0:6,13,6,8,11,0
0:0,0:0:6,15,1,7,18,0
0:0,0:0:6,14,0,8,18,0
0:0,0:0:6,17,2,7,15,0
0:0,0:0:6,15,5,7,21,0
0:0,0:0:7,7,1,7,11,0
0:0,0:0:7,9,6,8,10,0
0:0,0:0:7,10,0,8,15,0
0:0,0:0:7,13,5,7,10,0
0:0,0:0:7,13,3,7,17,0
0:0,0:0:7,14,1,8,12,0
0:0,0:0:7,14,2,7,13,0
0:0,0:0:7,14,1,8,18,0
0:0,0:0:7,17,2,7,21,0
0:0,0:0:7,19,5,8,21,0
0:0,0:0:8,11,2,7,9,0
0:0,0:0:8,12,4,8,9,0
0:0,0:0:8,11,1,8,12,0
0:0,0:0:8,13,6,8,16,0
0:0,0:0:8,12,2,7,12,0
0:0,0:0:8,15,1,7,17,0
0:0,0:0:8,16,2,8,18,0
0:0,0:0:8,16,2,7,18,0
0:0,0:0:8,17,0,8,17,0
0:0,0:0:8,17,2,8,23,0
0:0,0:0:9,11,2,8,9,0
0:0,0:0:9,10,4,8,13,0
0:0,0:0:9,13,6,8,11,0
0:0,0:0:9,15,0,8,15,0
0:0,0:0:9,13,2,8,18,0
0:0,0:0:9,15,1,8,20,0
0:0,0:0:9,15,0,7,16,0
0:0,0:0:9,17,0,8,16,0
0:0,0:0:9,17,3,8,20,0
0:0,0:0:9,21,6,7,21,0
