small_relevant,small_random,big_random,big_relevant,label
6,1,7,14,0
5,4,8,9,0
6,0,8,45,0
6,1,8,7,0
5,6,8,17,0
0,4,8,16,0
4,3,8,17,0
1,3,8,33,0
1,0,7,12,0
1,5,8,21,0
4,0,8,43,0
4,5,7,4,0
0,4,8,1,0
4,3,8,62,0
2,3,8,54,0
6,5,7,43,0
6,5,8,67,0
6,3,7,16,0
3,4,8,60,0
3,6,7,29,0
5,5,7,20,1
1,3,7,66,1
4,4,7,25,1
4,5,8,60,1
4,0,7,2,1
3,2,8,2,1
2,4,8,26,1
4,5,7,2,1
7,0,8,24,1
3,6,8,39,1
4,0,8,62,1
5,5,8,28,1
2,6,7,56,1
4,2,7,54,1
4,0,7,24,1
4,3,8,70,1
2,6,8,41,1
3,5,8,52,1
3,3,8,66,1
3,5,7,14,1
8,5,7,71,2
3,6,8,54,2
7,1,8,15,2
2,1,8,41,2
3,4,7,37,2
8,3,7,51,2
7,5,8,7,2
2,4,8,36,2
7,6,8,44,2
3,3,7,66,2
6,6,7,49,2
3,4,7,18,2
3,1,8,31,2
2,4,7,24,2
7,4,7,4,2
7,4,7,14,2
3,3,8,37,2
5,2,8,26,2
4,4,8,17,2
7,4,7,55,2
5,3,8,14,3
5,1,8,7,3
5,4,8,23,3
4,2,7,66,3
4,4,8,24,3
3,4,8,47,3
7,5,7,19,3
9,0,7,45,3
8,1,8,29,3
8,5,8,52,3
4,5,7,18,3
6,5,8,56,3
6,4,8,60,3
5,4,8,41,3
4,4,8,59,3
5,1,7,19,3
6,4,8,11,3
6,3,7,13,3
4,4,7,16,3
4,6,7,55,3
8,2,8,45,4
10,0,8,13,4
9,4,7,43,4
8,5,8,25,4
7,2,7,67,4
9,1,8,73,4
9,5,7,66,4
4,5,8,52,4
6,0,8,4,4
7,4,8,18,4
8,5,8,48,4
5,0,8,66,4
8,5,7,55,4
5,0,7,70,4
8,6,8,19,4
7,2,7,11,4
4,1,7,8,4
10,0,7,72,4
6,1,8,4,4
4,4,8,39,4
9,6,8,67,5
11,2,8,45,5
10,6,7,18,5
11,4,7,49,5
9,5,8,72,5
8,5,7,9,5
6,1,8,35,5
7,4,7,24,5
9,1,7,74,5
10,3,7,72,5
6,5,8,52,5
5,2,7,52,5
5,4,8,28,5
10,1,8,67,5
8,2,7,44,5
5,4,7,14,5
7,2,7,67,5
10,3,7,23,5
6,1,7,58,5
8,2,7,33,5
6,3,8,50,6
8,2,7,61,6
10,3,8,60,6
6,3,8,31,6
9,4,7,12,6
11,5,8,23,6
6,5,8,47,6
8,5,8,24,6
12,6,8,36,6
7,4,7,60,6
10,1,8,31,6
12,2,8,73,6
12,2,8,62,6
12,6,7,22,6
11,0,8,21,6
6,6,8,54,6
11,2,7,26,6
9,1,8,30,6
12,2,8,18,6
12,0,8,71,6
8,5,8,73,7
11,6,8,11,7
12,4,8,46,7
9,6,7,30,7
11,4,8,62,7
8,0,8,14,7
13,0,7,51,7
11,2,7,16,7
12,5,7,71,7
12,1,8,29,7
13,0,7,46,7
13,2,8,48,7
12,2,7,53,7
10,3,8,26,7
7,4,8,22,7
12,0,7,64,7
13,2,7,75,7
13,3,7,34,7
11,2,8,47,7
10,3,7,34,7
14,6,8,41,8
13,3,7,37,8
10,6,7,67,8
14,0,7,30,8
13,4,8,30,8
13,3,8,29,8
14,4,8,12,8
14,3,7,35,8
10,4,7,75,8
10,0,7,39,8
9,0,8,36,8
8,2,7,46,8
9,2,8,36,8
11,0,8,57,8
11,5,8,54,8
8,3,7,25,8
11,5,8,64,8
10,0,7,16,8
13,3,7,8,8
10,5,7,47,8
10,4,7,69,9
9,2,7,62,9
10,1,8,21,9
15,4,7,9,9
12,1,8,78,9
14,2,8,24,9
13,0,7,62,9
13,4,8,10,9
10,2,8,51,9
13,3,8,18,9
12,5,8,11,9
11,1,7,14,9
13,6,7,28,9
12,6,7,30,9
14,1,7,56,9
12,3,8,62,9
12,1,8,67,9
14,5,7,37,9
12,5,7,53,9
13,0,7,9,9
