seq_number,small_relevant,small_random,big_random,big_relevant,label
0:0,3,0,8,4,0
0:0,4,3,8,4,0
0:0,4,4,7,6,0
0:0,4,2,7,9,0
0:0,4,4,8,8,0
0:0,6,2,7,10,0
0:0,6,6,8,9,0
0:0,7,2,8,9,0
0:0,9,4,8,11,0
0:0,11,0,7,9,0
0:1,0,4,8,6,0
0:1,3,1,8,6,0
0:1,2,1,7,3,0
0:1,4,6,8,3,0
0:1,4,2,8,4,0
0:1,7,4,8,10,0
0:1,6,4,8,12,0
0:1,8,6,8,10,0
0:1,8,4,8,10,0
0:1,10,2,7,10,0
0:2,0,4,8,3,0
0:2,1,0,7,2,0
0:2,2,6,7,7,0
0:2,6,6,8,7,0
0:2,5,6,7,9,0
0:2,8,4,8,8,0
0:2,9,5,8,6,0
0:2,9,4,7,10,0
0:3,2,6,7,1,0
0:3,1,5,8,1,0
0:3,3,2,7,4,0
0:3,6,6,7,3,0
0:3,5,6,7,4,0
0:3,5,0,7,10,0
0:3,7,4,7,9,0
0:3,7,2,7,7,0
0:3,8,1,7,13,0
0:3,9,3,7,14,0
0:3,10,5,7,14,0
0:4,0,6,8,0,0
0:4,2,0,8,3,0
0:4,5,1,7,6,0
0:4,6,0,7,8,0
0:4,7,1,8,6,0
0:4,8,6,7,10,0
0:4,7,6,7,12,0
0:4,8,6,7,9,0
0:4,10,0,8,13,0
0:4,10,0,8,14,0
0:5,2,5,8,3,0
0:5,3,1,7,4,0
0:5,2,2,7,6,0
0:5,5,1,7,9,0
0:5,7,2,8,9,0
0:5,7,4,7,10,0
0:5,8,3,8,12,0
0:5,7,0,7,12,0
0:5,10,1,7,9,0
0:5,12,3,8,9,0
0:6,3,6,7,1,0
0:6,4,0,8,6,0
0:6,3,3,8,6,0
0:6,3,0,8,5,0
0:6,6,6,8,4,0
0:6,8,1,7,11,0
0:6,7,0,8,11,0
0:6,10,2,7,8,0
0:6,8,5,7,14,0
0:6,9,1,7,13,0
0:7,2,2,7,0,0
0:7,4,6,8,6,0
0:7,2,0,8,5,0
0:7,3,6,8,4,0
0:7,6,0,7,6,0
0:7,5,0,7,6,0
0:7,8,4,8,8,0
0:7,7,6,8,12,0
0:8,3,2,7,1,0
0:8,4,4,8,1,0
0:8,3,1,8,4,0
0:8,5,6,8,8,0
0:8,4,2,7,4,0
0:8,7,1,7,9,0
0:8,8,2,8,10,0
0:8,8,2,7,10,0
0:8,9,0,8,9,0
0:8,9,2,8,15,0
0:9,2,3,7,0,0
0:9,4,3,8,7,0
0:9,4,0,8,2,0
0:9,6,3,7,5,0
0:9,6,5,7,5,0
0:9,8,6,7,5,0
0:9,6,1,7,6,0
0:9,10,0,7,10,0
0:9,10,3,8,14,0
0:10,1,3,7,2,0
0:10,2,2,7,4,0
0:10,3,2,7,2,0
0:10,3,4,8,9,0
0:10,5,0,8,7,0
0:10,7,1,7,11,0
0:10,7,4,7,6,0
0:10,8,3,8,9,0
0:10,9,0,8,9,0
0:10,12,5,8,13,0
0:10,13,5,8,16,0
0:11,3,5,7,4,0
0:11,2,0,8,6,0
0:11,4,6,8,2,0
0:11,4,6,8,7,0
0:11,5,6,8,8,0
0:11,7,5,8,5,0
0:11,6,4,7,6,0
0:11,8,1,7,9,0
0:11,8,6,8,10,0
0:11,10,6,7,15,0
0:12,2,4,8,4,0
0:12,1,4,7,6,0
0:12,2,5,8,8,0
0:12,4,2,8,9,0
0:12,7,6,8,8,0
0:12,6,6,7,10,0
0:12,6,5,7,8,0
0:12,9,2,7,10,0
0:12,10,6,8,14,0
0:12,12,3,8,9,0
0:13,1,1,8,5,0
0:13,3,0,7,4,0
0:13,5,1,8,8,0
0:13,3,5,7,9,0
0:13,6,3,7,8,0
0:13,8,3,8,5,0
0:13,6,3,7,6,0
0:13,7,4,7,12,0
0:14,0,5,8,1,0
0:14,4,6,8,1,0
0:14,2,4,8,6,0
0:14,5,5,7,8,0
0:14,6,6,7,7,0
0:14,7,5,7,9,0
0:14,7,0,8,9,0
0:14,9,6,7,10,0
0:14,10,6,7,8,0
0:15,3,2,7,4,0
0:15,2,1,7,7,0
0:15,5,4,8,2,0
0:15,4,3,8,3,0
0:15,4,3,7,4,0
0:15,8,6,7,10,0
0:15,6,6,8,9,0
0:16,0,3,8,5,0
0:16,3,0,8,1,0
0:16,2,2,7,4,0
0:16,5,1,7,9,0
0:16,5,6,8,4,0
0:16,6,1,7,6,0
